SPAD,Treatment,Pot,Photo,Cond,Ci,PARi,Date
50.7,ELAC,pot 5,22.01602947,0.241310126,231.2534428,1991.623413,3/30/17
50.7,ELAC,pot 5,21.55177201,0.250585493,240.4066949,1501.719238,3/30/17
50.7,ELAC,pot 5,21.59102927,0.259037659,245.0093439,1250.336426,3/30/17
50.7,ELAC,pot 5,20.73825763,0.261055366,251.9958676,1002.114624,3/30/17
50.7,ELAC,pot 5,19.68862846,0.259349879,258.5006445,798.8624878,3/30/17
50.7,ELAC,pot 5,16.38974852,0.256908622,279.6788133,500.8942261,3/30/17
50.7,ELAC,pot 5,1.686198283,0.3792369,382.026415,249.3419647,3/30/17
50.7,ELAC,pot 5,2.566234303,0.238573971,371.5977109,98.26691437,3/30/17
50.7,ELAC,pot 5,0.05116539,0.219932649,389.5410365,48.57987213,3/30/17
50.7,ELAC,pot 5,-2.982040303,0.199175108,415.2297771,1.555780053,3/30/17
39.5,Field,pot 3,20.02417872,0.220535846,230.6811883,1998.3396,3/29/17
39.5,Field,pot 3,19.62348612,0.227753963,239.1488084,1500.543213,3/29/17
39.5,Field,pot 3,19.33356505,0.233020257,245.0558845,1250.855835,3/29/17
39.5,Field,pot 3,18.53441591,0.233533597,251.6512048,1000.97821,3/29/17
39.5,Field,pot 3,17.4188172,0.229595683,257.8626383,801.3898315,3/29/17
39.5,Field,pot 3,15.91783885,0.222448105,265.8368968,599.5081787,3/29/17
39.5,Field,pot 3,12.97359419,0.217056897,286.152919,398.9378967,3/29/17
39.5,Field,pot 3,8.816239938,0.201894243,313.9924452,248.3084869,3/29/17
39.5,Field,pot 3,2.121672238,0.17420082,367.2603849,98.03921509,3/29/17
39.5,Field,pot 3,-201.2006219,0.336638643,1437.288061,51.20713806,3/29/17
39.5,Field,pot 3,-2.878530608,0.163987304,416.9100563,3.856443882,3/29/17
54.9,ELEC,pot 3,20.75619441,0.292325404,262.5445769,1999.009155,3/29/17
54.9,ELEC,pot 3,19.73215436,0.299098028,271.7679516,1500.599487,3/29/17
54.9,ELEC,pot 3,19.48457379,0.303779256,275.2370337,1250.588135,3/29/17
54.9,ELEC,pot 3,18.8161733,0.307536838,280.5819622,1002.239685,3/29/17
54.9,ELEC,pot 3,17.72926333,0.308615873,287.3642571,801.4110718,3/29/17
54.9,ELEC,pot 3,14.840187,0.307250602,303.6382482,501.4260254,3/29/17
54.9,ELEC,pot 3,8.716701825,0.301870612,338.009381,252.115921,3/29/17
54.9,ELEC,pot 3,1.872153891,0.294226518,377.2919596,97.96531677,3/29/17
54.9,ELEC,pot 3,-0.27917831,0.287187299,390.1235028,51.33429718,3/29/17
54.9,ELEC,pot 3,-2.526146047,0.274501113,404.2534856,3.875421047,3/29/17
61.7,ALAC,pot 4,24.8175334,0.240812553,209.4314012,2000.576416,3/29/17
61.7,ALAC,pot 4,24.45661463,0.266023413,227.9537811,1501.289429,3/29/17
61.7,ALAC,pot 4,24.70377216,0.288829794,238.3394613,1252.165894,3/29/17
61.7,ALAC,pot 4,24.16528588,0.30636845,249.6063792,999.5469971,3/29/17
61.7,ALAC,pot 4,23.80411678,0.322735723,258.5569002,799.0276489,3/29/17
61.7,ALAC,pot 4,20.00877135,0.33318167,282.4953864,500.0185852,3/29/17
61.7,ALAC,pot 4,12.16971974,0.338850903,325.3054703,251.3875275,3/29/17
61.7,ALAC,pot 4,4.750863282,0.337497277,363.8635394,102.107872,3/29/17
61.7,ALAC,pot 4,1.721905074,0.328057608,379.5491025,51.22863388,3/29/17
61.7,ALAC,pot 4,-2.119695885,0.310410571,400.7128591,3.885366678,3/29/17
45.7,Field,pot 6,22.61781776,0.223324419,213.5245181,1992.890503,3/29/17
45.7,Field,pot 6,22.61911921,0.240695841,225.9586958,1502.014648,3/29/17
45.7,Field,pot 6,22.45261479,0.253204593,234.7871051,1248.820923,3/29/17
45.7,Field,pot 6,21.81629814,0.264642894,245.3900943,998.1452637,3/29/17
45.7,Field,pot 6,20.8939671,0.273948451,256.0740039,799.2945557,3/29/17
45.7,Field,pot 6,17.57763335,0.277394724,278.891163,498.6778564,3/29/17
45.7,Field,pot 6,10.45245636,0.274039871,322.8548712,248.6737518,3/29/17
45.7,Field,pot 6,3.155250906,0.248933914,367.2495074,97.99357605,3/29/17
45.7,Field,pot 6,0.467192836,0.210299087,385.1760093,48.40910721,3/29/17
45.7,Field,pot 6,-2.895728681,0.185217267,414.9033617,1.53238976,3/29/17
57.3,ELEC ,pot 5,23.88554595,0.285461228,242.0127352,1993.329346,3/29/17
57.3,ELEC ,pot 5,23.14351489,0.287552705,247.6631207,1501.302246,3/29/17
57.3,ELEC ,pot 5,22.58028662,0.289378452,252.1520167,1251.585449,3/29/17
57.3,ELEC ,pot 5,21.70562679,0.289581451,257.7478315,998.7280273,3/29/17
57.3,ELEC ,pot 5,20.52609328,0.28959987,265.1086681,800.819397,3/29/17
