"eco","rep","PARi","Photo","ids"
"eco4","h",700.6853638,12.2515212,"eco4h"
"eco4","h",848.0661011,12.43994367,"eco4h"
"eco4","h",998.2800293,12.69878202,"eco4h"
"eco4","h",1199.64209,12.76409128,"eco4h"
"eco4","h",1600.393555,12.84467031,"eco4h"
"eco4","h",1799.801514,13.11011652,"eco4h"
"eco5","g",1.67889452,-1.626681023,"eco5g"
"eco5","g",49.11204529,1.911523737,"eco5g"
"eco5","g",73.94142151,3.464175693,"eco5g"
"eco5","g",98.47808075,4.73174335,"eco5g"
"eco5","g",198.2422791,8.92536988,"eco5g"
"eco5","g",299.7407227,11.15771518,"eco5g"
"eco5","g",399.7391968,11.83560744,"eco5g"
"eco5","g",498.6604614,12.34085931,"eco5g"
"eco5","g",498.7825012,12.32994754,"eco5g"
"eco5","g",701.96521,12.73848942,"eco5g"
"eco5","g",848.7197876,12.79512257,"eco5g"
"eco5","g",1000.016052,13.22777471,"eco5g"
"eco5","g",1198.322266,13.26718162,"eco5g"
"eco5","g",1801.317871,13.47431896,"eco5g"
"eco5","h",3.67323637,-1.144313638,"eco5h"
"eco5","h",3.689894199,-0.997642957,"eco5h"
"eco5","h",50.21961594,1.588176701,"eco5h"
"eco5","h",75.15589905,2.741994796,"eco5h"
"eco5","h",101.0481644,3.946863818,"eco5h"
"eco5","h",199.2848053,7.175741556,"eco5h"
"eco5","h",302.0871887,9.304909433,"eco5h"
"eco5","h",399.4391785,10.21802286,"eco5h"
"eco5","h",497.9657288,10.55479469,"eco5h"
"eco5","h",498.1050415,10.34500543,"eco5h"
"eco5","h",697.777832,10.66292299,"eco5h"
"eco5","h",847.8699951,10.71634807,"eco5h"
"eco5","h",997.838623,11.10031695,"eco5h"
"eco5","h",1202.112061,11.44998304,"eco5h"
"eco5","h",1601.626831,11.51795218,"eco5h"
"eco5","h",1798.62561,11.30634813,"eco5h"
"eco6","g",1.508368611,-1.643721483,"eco6g"
"eco6","g",1.58945179,-1.802138664,"eco6g"
"eco6","g",49.36495972,1.571586328,"eco6g"
"eco6","g",74.33770752,2.77762678,"eco6g"
"eco6","g",99.01151276,3.950332317,"eco6g"
"eco6","g",199.1081543,7.853676418,"eco6g"
"eco6","g",301.0959778,9.975616989,"eco6g"
"eco6","g",401.6128235,10.96568473,"eco6g"
"eco6","g",500.7743835,11.37284323,"eco6g"
"eco6","g",501.2415466,11.45450394,"eco6g"
"eco6","g",700.2982788,12.0966633,"eco6g"
"eco6","g",852.0475464,12.34357056,"eco6g"
"eco6","g",998.8726807,12.52810635,"eco6g"
"eco6","g",1198.770752,12.7676174,"eco6g"
"eco6","g",1600.588135,13.14137476,"eco6g"
"eco6","g",1800.699097,13.10597423,"eco6g"
"eco6","h",3.642919302,-0.98754322,"eco6h"
"eco6","h",3.652488232,-1.123784509,"eco6h"
"eco6","h",50.30146027,1.576866473,"eco6h"
"eco6","h",75.19551086,2.709250623,"eco6h"
"eco6","h",101.1172333,3.802637796,"eco6h"
"eco6","h",199.3694763,7.465682004,"eco6h"
"eco6","h",302.1643372,10.498527,"eco6h"
"eco6","h",399.5888062,11.87394943,"eco6h"
"eco6","h",498.3022766,12.64250584,"eco6h"
"eco6","h",498.4543152,12.37043706,"eco6h"
"eco6","h",698.2025146,13.13955331,"eco6h"
"eco6","h",848.2509766,13.44661505,"eco6h"
"eco6","h",998.1754761,13.79844827,"eco6h"
"eco6","h",1199.077637,13.90695535,"eco6h"
"eco6","h",1602.201538,14.20567828,"eco6h"
"eco6","h",1799.317749,14.31792682,"eco6h"
